Aedo, 2015	Aedo C. (2015). Personal comment.
Alonso-Zarazaga, 2016	Alonso-Zarazaga M.A. (2016). Personal comment.
Bourgoin, 2016	Bourgoin T. (2016). Personal estimate.
Brusca, 2003	Brusca R.C. & Brusca G.J. (2003). Invertebrates, 2nd ed. Sinauer Associates, Sunderland, Massachusetts. 936 pp.
Chapman, 2009	Chapman A.D. (2009). Numbers of Living Species in Australia and the World, 2nd edition. ABRS, Australia. 80 p.
Culham, 2015	Culham A. (2015). Personal comment.
Farjon, 2010	Farjon, A. (2010). A Handbook of the World's Conifers. Brill, Leiden & Boston.
Govaerts, 2015	Govaerts R. (2015). Personal comment.
Guiry, 2012	Guiry M.D. (2012). How many species of algae are there? J. Phycol., 48: 1057–1063. 
Hassler, 2015	Hassler M. (2015). Species estimates based on World Plants data (personal comment).
Hassler, 2015b	Hassler M. (2015). Species estimates based on World Ferns data (personal comment).
ICTV, 2014	ICTV 2014 Master Species List. Version 4 of June 12, 2015
Kathirithamby, 2015	Kathirithamby J. (2015). Personal comment.
Kirk, 2016	Kirk P.M. (2016). Personal comment.
Krishna, 2013	Krishna K., Grimaldi D.A., Krishna V., Engel M.S. (2013). Treatise on the Isoptera of the world. In: Bulletin of the American Museum of Natural History, 377: 1-2704.
Lado, 2015	Lado C. (2015). Personal comment.
LecyPages, 2006	LecyPages (2006).
Lewis, 2000	Lewis G., Schrire B., Mackinder B., Lock M. (2000). Legumes of the World. RBG Kew. 592 p.
MolluscaBase, 2016	MolluscaBase (2016). Accessed at http://www.molluscabase.org on 2016-12-07
Mora, 2011	Mora C., Tittensor D.P., Adl S., Simpson A.G.B., Worm B. (2011). How Many Species Are There on Earth and in the Ocean? PLoS Biol 9(8): e1001127. doi:10.1371/journal.pbio.1001127
Nelson, 2006	Nelson J.S. (2006). Fishes of the World, 4th Edition. New Jersey. 601 p. 
Nieukerken, 2016	Nieukerken EJ van, Doorenweerd C, Hoare RJB, Davis DR (2016). Revised classification and catalogue of global Nepticulidae and Opostegidae (Lepidoptera: Nepticuloidea). ZooKeys 628: 65-246.
Oswald, 2015	Oswald, J. (2015). Ex. current Catalogue of Life Neuropterida dataset.
Ouvrard, 2015	Ouvrard D. (2015). Personal comment.
Rein, 2015	Rein J.O. (ed) (2015). The Scorpion Files at http://www.ntnu.no/ub/scorpion-files/
Roskov, 2015	Roskov Y. (2015). Personal comment.
Roskov, 2016	Roskov Y. (2016). Personal comment.
Sekiguchi, 2009	[Only extant] Sekiguchi, K. and Shuster, C. N. 2009. Limits on the global distribution of horseshoe crabs (Limulacea): lessons learned from two lifetimes of observations: Asia and America. 5–24. In Tanacredi, J. T., Botton, M. L. and Smith, D. R. (eds). Conservation of horseshoe crabs. Springer, Dordrecht, 662 pp.
Soulier-Perkins, 2012	Soulier-Perkins A. & Kunz G. (2012) Revision of the malagassy endemic genus Amberana Distant (Hemiptera, Cercopidae) with description of one new genus. Zootaxa, 3156: 1-42
Söderström, 2015	Söderström L., Hagborg A., von Konrat M. & al. (2015). World checklist of hornworts andliverworts. PhytoKeys 59: 1–828. doi: 10.3897/phytokeys.59.6261
THRIPS	THRIPS - http://thrips.info/wiki/Main_Page
WCSP, 2015	After WCSP (2015). World Checklist of Selected Plant Families. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://apps.kew.org/wcsp
Zhang, 2011	Roskov Y. after Zhang Z.-Q., ed. (2011). Animal biodiversity: An outline of higher-level classification and survey of taxonomic richness. Zootaxa 3148: 1–237.
